Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/31/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/1/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/2/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/3/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/4/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/5/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/6/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/7/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/8/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/9/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/10/2020,AQS,560019991,1,0.054,ppm,50,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/11/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/12/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/13/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/14/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/15/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/16/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/17/2020,AQS,560019991,1,0.061,ppm,71,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/18/2020,AQS,560019991,1,0.061,ppm,71,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/19/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/20/2020,AQS,560019991,1,0.057,ppm,58,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/21/2020,AQS,560019991,1,0.058,ppm,61,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/22/2020,AQS,560019991,1,0.054,ppm,50,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/23/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/24/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/25/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/26/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/27/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/28/2020,AQS,560019991,1,0.057,ppm,58,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/29/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
4/30/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/1/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/2/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/3/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/4/2020,AQS,560019991,1,0.057,ppm,58,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/5/2020,AQS,560019991,1,0.057,ppm,58,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/6/2020,AQS,560019991,1,0.06,ppm,67,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/7/2020,AQS,560019991,1,0.06,ppm,67,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/8/2020,AQS,560019991,1,0.054,ppm,50,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/9/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/10/2020,AQS,560019991,1,0.054,ppm,50,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/11/2020,AQS,560019991,1,0.058,ppm,61,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/12/2020,AQS,560019991,1,0.055,ppm,51,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/13/2020,AQS,560019991,1,0.052,ppm,48,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/14/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/15/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/16/2020,AQS,560019991,1,0.058,ppm,61,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/17/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/18/2020,AQS,560019991,1,0.061,ppm,71,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/19/2020,AQS,560019991,1,0.06,ppm,67,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/20/2020,AQS,560019991,1,0.056,ppm,54,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/21/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/22/2020,AQS,560019991,1,0.056,ppm,54,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/23/2020,AQS,560019991,1,0.06,ppm,67,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/24/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/25/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/26/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/27/2020,AQS,560019991,1,0.041,ppm,38,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/28/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/29/2020,AQS,560019991,1,0.044,ppm,41,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/30/2020,AQS,560019991,1,0.041,ppm,38,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
5/31/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/1/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/2/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/3/2020,AQS,560019991,1,0.044,ppm,41,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/4/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/5/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/6/2020,AQS,560019991,1,0.055,ppm,51,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/7/2020,AQS,560019991,1,0.056,ppm,54,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/8/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/9/2020,AQS,560019991,1,0.041,ppm,38,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/10/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/11/2020,AQS,560019991,1,0.056,ppm,54,Centennial,13,76,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/12/2020,AQS,560019991,1,0.059,ppm,64,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/13/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/14/2020,AQS,560019991,1,0.06,ppm,67,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
6/15/2020,AQS,560019991,1,0.058,ppm,61,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
