Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/6/2020,AQS,560010006,11,2.9,ug/m3 LC,12,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/12/2020,AQS,560010006,11,1.9,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/18/2020,AQS,560010006,11,3.2,ug/m3 LC,13,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/24/2020,AQS,560010006,11,1.8,ug/m3 LC,8,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
4/30/2020,AQS,560010006,11,3.1,ug/m3 LC,13,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/6/2020,AQS,560010006,11,3.4,ug/m3 LC,14,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/12/2020,AQS,560010006,11,3,ug/m3 LC,13,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/18/2020,AQS,560010006,11,4.6,ug/m3 LC,19,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/24/2020,AQS,560010006,11,1.5,ug/m3 LC,6,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
5/30/2020,AQS,560010006,11,4.2,ug/m3 LC,18,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/5/2020,AQS,560010006,11,3.6,ug/m3 LC,15,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/11/2020,AQS,560010006,11,2.5,ug/m3 LC,10,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/17/2020,AQS,560010006,11,3.3,ug/m3 LC,14,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/23/2020,AQS,560010006,11,3.3,ug/m3 LC,14,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
6/29/2020,AQS,560010006,11,5.1,ug/m3 LC,21,Laramie SLAM site,1,100,88101,PM2.5 - Local Conditions,29660,"Laramie, WY",56,Wyoming,1,Albany,41.311586,-105.591725
1/1/2020,AQS,560050892,3,0.7,ug/m3 LC,3,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/2/2020,AQS,560050892,3,0.5,ug/m3 LC,2,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/3/2020,AQS,560050892,3,1.8,ug/m3 LC,8,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/4/2020,AQS,560050892,3,0.7,ug/m3 LC,3,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/5/2020,AQS,560050892,3,0.1,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/6/2020,AQS,560050892,3,1.7,ug/m3 LC,7,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/7/2020,AQS,560050892,3,0,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/8/2020,AQS,560050892,3,0.5,ug/m3 LC,2,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/9/2020,AQS,560050892,3,1.6,ug/m3 LC,7,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/10/2020,AQS,560050892,3,2.7,ug/m3 LC,11,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/11/2020,AQS,560050892,3,0,ug/m3 LC,0,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
1/12/2020,AQS,560050892,3,1.2,ug/m3 LC,5,Belle Ayr BA-4,1,100,88101,PM2.5 - Local Conditions,23940,"Gillette, WY",56,Wyoming,5,Campbell,44.097074,-105.343164
