Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/11/2020,AQS,560050123,1,3.7,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/12/2020,AQS,560050123,1,0.7,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/13/2020,AQS,560050123,1,8.4,ppb,8,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/14/2020,AQS,560050123,1,2,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/15/2020,AQS,560050123,1,5.7,ppb,5,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/16/2020,AQS,560050123,1,4.4,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/17/2020,AQS,560050123,1,2.3,ppb,2,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/18/2020,AQS,560050123,1,4.4,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/19/2020,AQS,560050123,1,5.1,ppb,5,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/20/2020,AQS,560050123,1,4.6,ppb,4,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/21/2020,AQS,560050123,1,4,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/22/2020,AQS,560050123,1,5,ppb,5,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/23/2020,AQS,560050123,1,3.6,ppb,3,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/24/2020,AQS,560050123,1,2.5,ppb,2,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/25/2020,AQS,560050123,1,1,ppb,1,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/26/2020,AQS,560050123,1,4.1,ppb,4,Thunder Basin,22,92,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/27/2020,AQS,560050123,1,0.9,ppb,0,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
2/28/2020,AQS,560050123,1,4.2,ppb,4,Thunder Basin,24,100,42602,Nitrogen dioxide (NO2),23940,"Gillette, WY",56,Wyoming,5,Campbell,44.6522,-105.2903
